cycles,execution,best_energy,final_energy,total_iterations,trimmed_iterations,best_iteration,avg_esp
10,1,-1.0283588441001161,-1.0083220883317252,430,430,382,0.8691083540927627
10,10,-0.8396855049813582,-0.8172842261022466,430,430,415,0.8691083540927627
10,2,-0.9974817323379873,-0.9757248036047077,430,430,387,0.8691083540927627
10,3,-1.074705776293917,-1.074043054758904,430,430,400,0.858620917031085
10,4,-1.021794545096109,-0.9345220709466802,430,300,289,0.8691083540927627
10,5,-1.0505588227569553,-1.029593677470347,430,430,381,0.8691083540927627
10,6,-1.032695827423728,-1.0080486576314684,430,293,254,0.858620917031085
10,7,-0.9858196048774511,-0.9493591179759436,430,292,276,0.858620917031085
10,8,-1.015593731197582,-0.9922064940787695,430,430,372,0.858620917031085
10,9,-1.0120082085356361,-0.969186010109514,430,303,271,0.8691083540927627
2,1,-1.029512250471555,-1.0142776473218267,432,432,420,0.801419307640082
2,10,-0.9466377474963179,-0.9353628214331476,425,425,400,0.801419307640082
2,2,-0.9869316419361887,-0.9695668518825151,415,415,274,0.801419307640082
2,3,-0.9376958921273062,-0.9150900546474966,407,407,275,0.801419307640082
2,4,-1.019046474078528,-1.0045775517996494,432,432,322,0.801419307640082
2,5,-1.0452418860168255,-1.0321530907581313,427,427,354,0.801419307640082
2,6,-1.0096349262184325,-1.0010618105072564,403,403,279,0.801419307640082
2,7,-0.49304299301928195,-0.4626349035252775,418,116,104,0.801419307640082
2,8,-1.056944275402188,-1.0477987602612733,414,414,363,0.801419307640082
2,9,-0.9627182410855039,-0.944468806819079,432,432,348,0.801419307640082
4,1,-1.0475796196300067,-1.0306468034933502,432,231,173,0.8519486130738952
4,10,-1.0620810558865494,-1.005074625181233,432,232,194,0.8519486130738952
4,2,-1.0736224338934588,-1.0144819271054872,432,232,230,0.8519486130738952
4,3,-0.9544643081907024,-0.9112090212525585,432,231,220,0.8519486130738952
4,4,-1.0543862698428506,-1.0431202667763952,432,231,230,0.8519486130738952
4,5,-1.0664295030963908,-1.0157667700918922,432,234,223,0.8519486130738952
4,6,-1.0212448439807518,-0.9800101270578583,432,231,230,0.8519486130738952
4,7,-1.0521938537540634,-0.9847333900672057,432,231,204,0.8519486130738952
4,8,-0.9413538870760257,-0.8924074267958347,432,231,221,0.8519486130738952
4,9,-1.0665501510820223,-1.0306985722092916,432,232,231,0.8519486130738952
6,1,-1.074056933606086,-1.0646499080758332,432,289,285,0.8594220191038073
6,10,-1.0377408226302862,-1.0288507557061322,432,289,284,0.8594220191038073
6,2,-1.0357303383744725,-1.006145018354406,432,289,288,0.8594220191038073
6,3,-1.0285153841815668,-0.9956124041379121,432,290,272,0.8594220191038073
6,4,-1.0593342420519898,-1.039715309612962,432,289,276,0.8594220191038073
6,5,-0.9590435138773743,-0.9061193422197414,432,290,280,0.8594220191038073
6,6,-1.0567034641389552,-1.0567034641389552,432,289,289,0.8594220191038073
6,7,-1.0577292815527581,-1.040669856381728,432,289,281,0.8594220191038073
6,8,-1.0150566860684975,-1.0031956664034287,432,432,379,0.8594220191038073
6,9,-1.0210203276119698,-1.00174285192375,432,289,247,0.8594220191038073
8,1,-1.0236565563082103,-1.0071828864289971,432,432,406,0.8674374255858602
8,10,-1.0619553597753124,-1.05237266939482,432,432,421,0.8593371130925191
8,2,-1.0530141420400696,-1.035388196210071,432,432,421,0.8593371130925191
8,3,-1.0187194292027937,-1.0020489126522065,432,432,401,0.8674374255858602
8,4,-1.0709553594264598,-1.0660619802552413,432,432,429,0.8593371130925191
8,5,-1.0206422243089044,-1.0027707953324174,432,432,414,0.8674374255858602
8,6,-0.9925678454289613,-0.9339692046827172,432,290,270,0.8674374255858602
8,7,-1.0075650117598207,-0.9551027387893564,432,289,271,0.8674374255858602
8,8,-1.066064768897394,-1.043594626335916,432,289,287,0.8593371130925191
8,9,-1.0314432375253064,-1.0232000923632745,432,432,418,0.8674374255858602
