graph,graph_label,technique,technique_label,mean,std,count,color
path,Path,qconcord,Qoncord,0.4968289888822115,0.02699758835614568,60,#FFAD31
path,Path,optimal,BestMap,0.560638897235577,0.02074546681968354,30,#1E932E
path,Path,Nest,$\mathrm{N}\textsc{est}$,0.6377026993189103,0.030225094521700076,30,#00185F
star,Star,qconcord,Qoncord,0.4287660256410256,0.09014543815304145,60,#FFAD31
star,Star,optimal,BestMap,0.504741962139423,0.0516293878957436003,30,#1E932E
star,Star,Nest,$\mathrm{N}\textsc{est}$,0.546777844551282,0.044821652727833375,30,#00185F
cycle,Cycle,qconcord,Qoncord,0.5325896434294872,0.027698123622442235,54,#FFAD31
cycle,Cycle,optimal,BestMap,0.6064870459401709,0.01724554554515298,27,#1E932E
cycle,Cycle,Nest,$\mathrm{N}\textsc{est}$,0.6546661881232194,0.022803732775824752,27,#00185F
two_stars,Two Stars,qconcord,Qoncord,0.45831298828125,0.051012958546328514,60,#FFAD31
two_stars,Two Stars,optimal,BestMap,0.5064709785657051,0.014053874487091069,30,#1E932E
two_stars,Two Stars,Nest,$\mathrm{N}\textsc{est}$,0.538435300051511,0.018018134721400143,28,#00185F
ladder,Ladder,qconcord,Qoncord,0.5132409354967949,0.018147169606855232,60,#FFAD31
ladder,Ladder,optimal,BestMap,0.5366914563301281,0.016200942547596576,30,#1E932E
ladder,Ladder,Nest,$\mathrm{N}\textsc{est}$,0.5843506558769893,0.011211863321605558,29,#00185F
